Regional,BAIRROS,População Total,Pop. Homens,Pop. Mulheres,Média de moradores por domicílio,Razão de Dependência
REGIONAL 4,MONTESE,25970,11524,14446,3,26,38,59
REGIONAL 1,MOURA BRASIL,3765,1796,1969,3,55,48,23
REGIONAL 2,MUCURIPE,13747,6239,7508,3,09,36,19
REGIONAL 3,PADRE ANDRADE,12936,5912,7024,3,41,40,14
REGIONAL 4,PANAMERICANO,8815,4065,4750,3,41,41,27
REGIONAL 2,PAPICU,18370,8584,9786,3,3,37,15
REGIONAL 4,PARANGABA,30947,14271,16676,3,33,36,61
REGIONAL 3,PARQUE ARAXA,6715,2919,3796,3,33,38,83
REGIONAL 6,PARQUE DOIS IRMAOS,27236,13072,14164,3,64,41,27
REGIONAL 6,PARQUE IRACEMA,8409,3875,4534,3,07,35,35
REGIONAL 6,PARQUE MANIBURA,7529,3472,4057,3,69,34,66
REGIONAL 5,PARQUE PRESIDENTE VARGAS,7192,3560,3632,3,69,51,57
REGIONAL 5,PARQUE SANTA ROSA,12790,6106,6684,3,43,42,21
REGIONAL 5,PARQUE SAO JOSE,10486,5007,5479,3,47,45,22
REGIONAL 3,PARQUELANDIA,14432,6283,8149,3,22,36,61
REGIONAL 4,PARREAO,11072,4977,6095,3,43,39,8
REGIONAL 6,PASSARE,50940,24541,26399,3,38,42,92
REGIONAL 6,PAUPINA,14665,7042,7623,3,46,41,55
REGIONAL 6,PEDRAS,1342,670,672,3,63,46,99
REGIONAL 3,PICI,42494,20330,22164,3,58,43
REGIONAL 1,PIRAMBU,17775,8430,9345,3,65,49,62
REGIONAL 5,PLANALTO AYRTON SENNA,39446,19277,20169,3,56,46,83
REGIONAL 2,PRAIA DE IRACEMA,3130,1437,1693,2,87,34,28
REGIONAL 2,PRAIA DO FUTURO I,6630,3224,3406,3,42,49,86
REGIONAL 2,PRAIA DO FUTURO II,11957,5879,6078,3,46,48,74
REGIONAL 5,PREFEITO JOSE VALTER,33427,15401,18026,3,42,43,27
REGIONAL 3,PRESIDENTE KENNEDY,23004,10327,12677,3,43,37,83
REGIONAL 3,QUINTINO CUNHA,47277,22471,24806,3,58,42,43
REGIONAL 3,RODOLFO TEOFILO,19114,8575,10539,3,36,38,45
REGIONAL 6,SABIAGUABA,2117,1043,1074,3,59,43,23
REGIONAL 2,SALINAS,4298,2014,2284,3,51,38,91
REGIONAL 6,SAO BENTO,11964,5771,6193,3,36,46,71
REGIONAL 1,SAO GERARDO,14505,6376,8129,3,27,34,87
REGIONAL 2,SAO JOAO DO TAUAPE,27598,12498,15100,3,32,39,31
REGIONAL 6,SAPIRANGA COITE,32158,15278,16880,3,73,43,25
REGIONAL 4,SERRINHA,28770,13823,14947,3,47,40,88
REGIONAL 5,SIQUEIRA,33628,16373,17255,3,63,51,59
REGIONAL 2,VARJOTA,8421,3645,4776,3,01,32,07
REGIONAL 1,VILA ELLERY,7863,3544,4319,3,43,39,41
REGIONAL 4,VILA PERY,20645,9517,11128,3,38,38,5
REGIONAL 4,VILA UNIAO,15378,7090,8288,3,38,39,63
REGIONAL 1,VILA VELHA,61617,29108,32509,3,55,43,99
REGIONAL 2,VICENTE PINZON,45518,21766,23752,3,55,42,98
